NOME, ENDERECO, CIDADE, UF, CEP, TELEFONE, LATITUDE, LONGITUDE
"APS JOÃO PINHEIRO,""AV. DONA ZICA, Nº 763"",JOÃO PINHEIRO,MG,,,-17.7411125,-46.17812869999999"
"APS IBIÁ,""R PREFEITO NÓE DIAS DOS REIS, 06"",IBIÁ,MG,,,-19.4878116,-46.5450499"
"APS CONCEIÇÃO DAS ALAGOAS,""AV. DEOLINDO DE FREITAS PAIXÃO, 628"",CONCEIÇÃO DAS ALAGOAS,MG,,,-19.9237449,-48.3745921"
"APS SACRAMENTO,""RUA JOÃO CAIANA, 15"",SACRAMENTO,MG,,,-19.7474612,-47.9354259"
APS CARMO DO PARANAÍBA,RUA DR.BARCELOS Nº 391,CARMO DO PARANAÍBA,MG,,,-18.9956658,-46.31165319999999
APS SÃO GOTARDO,AV. PAULO SHIMADA Nº 41,SÃO GOTARDO,MG,,,-19.3091869,-46.0534322
"APS ARAGUARI,""AV. CEL TEODOLINO PEREIRA ARAÚJO, 1080"",ARAGUARI,MG,,,-18.6475952,-48.192284"
"APS ITUIUTABA,""AV. 11, 50"",ITUIUTABA,MG,,,-18.9702986,-49.4589262"
APS MONTE CARMELO,RUA TIRADENTES 45,MONTE CARMELO,MG,,,-18.7270612,-47.4949089
"APS UBERLÂNDIA,""PRAÇA CLARIMUNDO CARNEIRO, 162"",UBERLÂNDIA,MG,,,-18.9229573,-48.28221660000001"
"APS CAMPINA VERDE,""RUA 26, 47"",CAMPINA VERDE,MG,,,-19.5328846,-49.481202"
"APS ITURAMA,""AV. RIO GRANDE, 1165"",ITURAMA,MG,,,-19.7298187,-50.1994435"
APS PRATA/MG,PRAÇA JUSCELINO KUBITSCHEK,PRATA,MG,,,-20.5811076,-46.9228511
"APS TUPACIGUARA,""RUA BUENO BRANDÃO, 106"",TUPACIGUARA,MG,,,-18.5956065,-48.7013693"
"APS ALFENAS,""AVENIDA GOVERNADOR VALADARES, 825"",ALFENAS,MG,,,-21.4171582,-45.9475162"
"APS CAMPO BELO,""PRAÇA DOS EXPEDICIONÁRIOS, 47"",CAMPO BELO,MG,,,-20.8937254,-45.2767175"
"APS CAXAMBÚ,""RUA MAJOR PENHA, 386"",CAXAMBÚ,MG,,,-21.9799199,-44.9319374"
"APS LAVRAS,""RUA DR. FRANCISCO SALES, 507"",LAVRAS,MG,,,-21.2477841,-45.0018578"
"APS SÃO LOURENÇO,""PRAÇA HUMBERTO SANCHES, 165"",SÃO LOURENÇO,MG,,,-22.1180268,-45.0496596"
"APS TRÊS CORAÇÕES,""RUA PEDRO BONESIO, 133"",TRÊS CORAÇÕES,MG,,,-21.6960528,-45.2556157"
"APS TRÊS PONTAS,""AVENIDA OSWALDO CRUZ, 580"",TRÊS PONTAS,MG,,,-21.3700796,-45.5059202"
"APS VARGINHA,""RUA WENCESLAU BRAZ, 150"",VARGINHA,MG,,,-21.5549321,-45.4374684"
"APS BOA ESPERANÇA/MG,""A. MARECHAL FLORIANO PEIXOTO, 319"",BOA ESPERANÇA,MG,,,-21.0925068,-45.5600026"
"APS CAMPOS GERAIS,""RUA JORGE DE PAULA MEINBERG, 14"",CAMPOS GERAIS,MG,,,-21.2357107,-45.7582854"
"APS SÃO GONÇALO DO SAPUCAÍ,""RUA PREFEITO JOSÉ JORGE VILELA,85"",SÃO GONÇALO DO SAPUCAÍ,MG,,,,"
"APS NEPOMUCENO,""RUA JOÃO LOURENÇONI, 237"",NEPOMUCENO,MG,,,,"
"APS ELOI MENDES,""RUA QUIRINO PIZZO, 245, CENTRO"",ELOI MENDES,MG,,,-21.6075771,-45.57338319999999"
"APS CORINTO,""AVENIDA GETÚLIO VARGAS, 305"",CORINTO,MG,,,-18.3645118,-44.4577928"
"APS CURVELO,""PÇA BENEDITO VALADARES, 184"",CURVELO,MG,,,-18.754719,-44.4295213"
